DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Denmark,2017,17.4,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Denmark,2018,17.4,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Denmark,2019,16.9,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Denmark,2020,15.5,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Denmark,2021,16.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Denmark,2022,15.9,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Denmark,2023,15.6,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Denmark,2024,15.5,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2005,5.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2006,5.2,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2007,6.2,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2008,5.4,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2009,4.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2010,5.8,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2011,5.7,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2012,5.2,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2013,5.7,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2014,5.5,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2015,4.8,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2016,6,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2017,5.8,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2018,5.6,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2019,4.8,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2020,4.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2021,4.5,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2022,4.7,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2023,4.1,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Estonia,2024,4.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2005,30.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2006,30.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2007,30.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2008,30.5,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2009,29.4,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2010,27.2,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2011,26.7,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2012,26.5,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2013,23.4,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2014,23.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2015,23.4,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2016,23.1,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2017,23.2,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2018,22.6,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2019,22.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2020,19.2,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2021,20.3,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2022,20.9,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2023,19.9,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Greece,2024,21,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Spain,2005,136,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Spain,2006,136.6,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Spain,2007,138.8,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Spain,2008,133.9,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Spain,2009,123,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Spain,2010,123,,
ESTAT:SDG_07_10(1.0),11-12-2025 23:00,Annual,Million tonnes of oil equivalent,Spain,2011,122.7,,
